rho,S
1.000000000000000036e-10,1.507713415009020252e+01,-3.605649423770794226e-01,3.462398320919062300e+00,1.011855352539127173e-01,-3.605463148829820552e-01,9.861569242332798524e+00,-4.259677415938948997e+00,-7.389658645879351173e-01,3.462388930359790340e+00,-4.259681556739186803e+00,2.821394748787450890e+00,4.672517783763769361e-01,1.011832989690405055e-01,-7.389659431014202751e-01,4.672513208417590769e-01,1.407719361979419270e-01
1.000000000000000036e-10,1.507687160307315111e+01,-3.125830979048065394e-01,3.459098448654182700e+00,1.094061517671494760e-01,-3.125677225715951524e-01,7.875564090172998633e+00,-3.697815945308807528e+00,-8.006612120530863796e-01,3.459089293095158002e+00,-3.697819363353916700e+00,2.780174181885667117e+00,5.618614916055020281e-01,1.094033680791668128e-01,-8.006612769786023431e-01,5.618609114332503429e-01,1.894279199257977164e-01
1.000000000000000036e-10,1.507563685572077361e+01,-2.466163095297964902e-01,3.444606365198648490e+00,1.142117850779345578e-01,-2.466048924486572147e-01,5.856398013249272338e+00,-2.929611422630851614e+00,-7.343641577451130997e-01,3.444597824871954650e+00,-2.929613960921904958e+00,2.610123668494394256e+00,6.167531668894219443e-01,1.142085548732016120e-01,-7.343642061007235045e-01,6.167524849088912298e-01,2.397727684695692973e-01
1.000000000000000036e-10,1.507361073090857140e+01,-1.732543863967583031e-01,3.421052673358800700e+00,1.147159770156617048e-01,-1.732474929605023195e-01,4.152488760306908944e+00,-2.076040365206016869e+00,-5.436844961496666295e-01,3.421045112150745471e+00,-2.076041897957781934e+00,2.336332450555233642e+00,6.219897471163424729e-01,1.147124218669053064e-01,-5.436845254957232143e-01,6.219889888198005812e-01,2.844323882832066608e-01
1.000000000000000036e-10,1.507110569487504570e+01,-1.047044760403263719e-01,3.392068891108944495e+00,1.106565824114362356e-01,-1.047025047637373807e-01,3.081916821801824469e+00,-1.276375060959565211e+00,-2.511557512906817391e-01,3.392062640757209202e+00,-1.276375499502181876e+00,2.000998213667222192e+00,5.749026675276553977e-01,1.106528401892211411e-01,-2.511557598542131786e-01,5.749018621618197100e-01,3.166340856655831537e-01
1.000000000000000036e-10,1.506852491081534140e+01,-5.312063471712884927e-02,3.362310318033596257e+00,1.024476888554053666e-01,-5.312379366398212177e-02,2.889466488733337890e+00,-6.698708383173396230e-01,1.041309394326185300e-01,3.362305662923599670e+00,-6.698701364552224202e-01,1.657869203225156740e+00,4.806230480557774909e-01,1.024439085277316225e-01,1.041309525981488765e-01,4.806222275349102957e-01,3.311376246180584570e-01
1.000000000000000036e-10,1.506631067051271344e+01,-2.890249934048680011e-02,3.336859441678400096e+00,9.116083881921044352e-02,-2.891078681375813808e-02,3.707399092253767847e+00,-3.768636036741948581e-01,4.705226042364007433e-01,3.336856605181393043e+00,-3.768617620461912066e-01,1.365343750787086696e+00,3.517772515179945492e-01,9.115717456884102343e-02,4.705226390863067598e-01,3.517764491824416639e-01,3.250090507021031194e-01
1.000000000000000036e-10,1.506488474767881947e+01,-3.899903657402676443e-02,3.320539810556724536e+00,7.843710941022423444e-02,-3.901222982069942058e-02,5.521559314554147058e+00,-4.796475091084300701e-01,7.896512346010755579e-01,3.320538944028259110e+00,-4.796445776379054116e-01,1.178578986698626041e+00,2.073590659149237292e-01,7.843371428334040829e-02,7.896512899936521945e-01,2.073583151736243524e-01,2.982247182499983551e-01
1.000000000000000036e-10,1.506458371704780497e+01,-8.546358000440436309e-02,3.317174329327778004e+00,6.630927017612593677e-02,-8.548123680176338002e-02,8.151129214957375524e+00,-1.004825091048838548e+00,1.004512112753036979e+00,3.317175504762807314e+00,-1.004821168377822760e+00,1.140986992865113736e+00,7.066676528889254127e-02,6.630628952628141171e-02,1.004512186487596104e+00,7.066609819288975636e-02,2.540473290077787105e-01
1.000000000000000036e-10,1.506559548024162964e+01,-1.644175852432828433e-01,3.328861719666506680e+00,5.694179133409927457e-02,-1.644390610575775513e-01,1.125508612993403190e+01,-1.911106604066944659e+00,1.069340649153801559e+00,3.328864926503787292e+00,-1.911101833474518896e+00,1.275989033680674734e+00,-3.380126532765201364e-02,5.693935649687260903e-02,1.069340738162610327e+00,-3.380181948837582273e-02,1.989994305443638090e-01
1.000000000000000036e-10,1.506790786275208660e+01,-2.660387659622029388e-01,3.355396556973076372e+00,5.227709727364669712e-02,-2.660632465188026430e-01,1.437560189902533381e+01,-3.087528136490028885e+00,9.597212751002850428e-01,3.355401702776766193e+00,-3.087522698465003046e+00,1.580475101695878459e+00,-8.434434966959687696e-02,5.227531982131342070e-02,9.597213757725433503e-01,-8.434476566789751717e-02,1.422609006603348103e-01
1.000000000000000036e-10,1.507128342823802392e+01,-3.756811201328860705e-01,3.393993655192738323e+00,5.364925414641781576e-02,-3.757076629675087931e-01,1.701422774879860711e+01,-4.365563910715306584e+00,6.800422495795838129e-01,3.394000569279712387e+00,-4.365558013753584987e+00,2.021795415912414740e+00,-6.639496664862198916e-02,5.364822104993556551e-02,6.800423580905927690e-01,-6.639522443514156436e-02,9.437570265718946139e-02
1.000000000000000036e-10,1.507527517829546504e+01,-4.762758233923506390e-01,3.439473433169492722e+00,6.144719162027920817e-02,-4.763034034736003952e-01,1.872780246032959184e+01,-5.545266485237821286e+00,2.658650016999202781e-01,3.439481872241520133e+00,-5.545260356030818905e+00,2.539946682205416195e+00,2.375571344013197375e-02,6.144696152270077982e-02,2.658651142426449732e-01,2.375562786852570413e-02,6.538254874623124213e-02
