time,cart_pos,pend_pos,cart_vel,pend_vel,force
6.002471446990966797e-01,-1.027690166888444584e-01,3.016646346891119101e+00,1.517592948308004452e-01,-2.567427144173529019e+00,4.050715099345274517e+00
6.202540397644042969e-01,-9.919977017847467216e-02,2.964473826586282001e+00,2.041326064546765684e-01,-2.638028107370705033e+00,4.207176030900789065e+00
6.402635574340820312e-01,-9.461561800428365532e-02,2.911477038470823508e+00,2.533074588564443452e-01,-2.650093353660248674e+00,4.310266528370340744e+00
6.602709293365478516e-01,-8.908634514126781423e-02,2.858847339979086133e+00,2.987214084670368197e-01,-2.601852203147492215e+00,4.348366775160427800e+00
6.802885532379150391e-01,-8.269388537922359173e-02,2.807801400003011594e+00,3.397221750979927402e-01,-2.492540613827901819e+00,4.280031955234015584e+00
7.002871036529541016e-01,-7.553927991941571107e-02,2.759581215462550308e+00,3.750589265430531727e-01,-2.320415167741573192e+00,4.167765026263171357e+00
7.202954292297363281e-01,-6.773618947097782839e-02,2.715400801891197702e+00,4.046960172264115752e-01,-2.089868137644172563e+00,4.010758301333248177e+00
7.403037548065185547e-01,-5.939902671596266476e-02,2.676376723071524744e+00,4.285900783785406287e-01,-1.806196044883313423e+00,3.785083518562589511e+00
7.603120803833007812e-01,-5.064730352295446214e-02,2.643528251757243819e+00,4.462784119678515626e-01,-1.473814135522516056e+00,3.532126212449329117e+00
7.803204059600830078e-01,-4.160254381953703423e-02,2.617754128679848691e+00,4.580083510887407727e-01,-1.100259921373103689e+00,3.252962265198846126e+00
8.003523349761962891e-01,-3.238183911558861761e-02,2.599802648723756437e+00,4.639760976779613855e-01,-6.930157105544907381e-01,2.919149582687130096e+00
8.203356266021728516e-01,-2.310389493309021602e-02,2.590292513985712475e+00,4.638337676336851123e-01,-2.575848879973324790e-01,2.562790675394589268e+00
8.403439521789550781e-01,-1.388896397722480698e-02,2.589713678379114814e+00,4.577676603322741733e-01,1.986977157831912866e-01,2.173040364165003346e+00
8.603518009185791016e-01,-4.855913071955217722e-03,2.598419627513099517e+00,4.457366568949415742e-01,6.694915312870677315e-01,1.711300676132908150e+00
8.803658485412597656e-01,3.868847780154251875e-03,2.616663043461114668e+00,4.270413025886323766e-01,1.150994621654746863e+00,1.208535367182923093e+00
9.003684520721435547e-01,1.215091075842668691e-02,2.644600469287537781e+00,4.015756198970393820e-01,1.637399435686795357e+00,6.643528692822330273e-01
9.203760623931884766e-01,1.985403463825687401e-02,2.682271943190526198e+00,3.692657828168969258e-01,2.122829760692750867e+00,3.261498091700069935e-02
9.403843879699707031e-01,2.683308310560836990e-02,2.729627746125137033e+00,3.293109818064897665e-01,2.604111929295528594e+00,-6.339627419102089600e-01
9.603922367095947266e-01,3.293739489606235804e-02,2.786513844374906679e+00,2.819470492817708340e-01,3.074007520316925035e+00,-1.336699507284568211e+00
9.804041385650634766e-01,3.802147527990942105e-02,2.852626167962546422e+00,2.274561429218890929e-01,3.524738519809777149e+00,-2.073199368931792019e+00
1.000414371490478516e+00,4.194663146282376354e-02,2.927496065562884553e+00,1.662341945974220025e-01,3.947642975744855676e+00,-2.793390566910887607e+00
1.020417451858520508e+00,4.459144438011113099e-02,3.010438608339570443e+00,9.959434997916191690e-02,4.329867460997703255e+00,-3.498755792147000943e+00
1.040425300598144531e+00,4.586002955325645808e-02,3.100511083014056535e+00,2.876874491600878159e-02,4.658608655617769045e+00,-4.084235406556586234e+00
1.060433149337768555e+00,4.569855489281030025e-02,3.196442784639153434e+00,-4.331184450186932600e-02,4.914187692293815246e+00,-4.558584551389163408e+00
1.080446481704711914e+00,4.410671561313349309e-02,3.296601098574065691e+00,-1.142364741768241709e-01,5.080316341129627489e+00,-4.942436401324616924e+00
1.100450515747070312e+00,4.112459652011652561e-02,3.399082606179847144e+00,-1.823798646071835561e-01,5.146351820585539194e+00,-5.068537860807589723e+00
1.120457887649536133e+00,3.684954838164337249e-02,3.501703172429051047e+00,-2.436921560651893748e-01,5.095235647117299926e+00,-5.088086910466766533e+00
1.140466213226318359e+00,3.142630688086718582e-02,3.602119871847795363e+00,-2.974223695217175223e-01,4.927827195471225608e+00,-4.987284053226101577e+00
1.160481452941894531e+00,2.501361171053197510e-02,3.698051623265947718e+00,-3.429014366959667881e-01,4.649256626794664449e+00,-4.742827919542536463e+00
1.180485248565673828e+00,1.778537411075110930e-02,3.787349177382081766e+00,-3.792612562230677220e-01,4.267341398297748611e+00,-4.474436910969957992e+00
1.200491428375244141e+00,9.911524359652786401e-03,3.868117773777456136e+00,-4.077076747240938048e-01,3.799231473279661486e+00,-4.181542475205169751e+00
1.220498800277709961e+00,1.540560018271356496e-03,3.938799560200664018e+00,-4.291685607722776630e-01,3.261298424949441888e+00,-3.907464218512864296e+00
1.240506649017333984e+00,-7.201849177878028030e-03,3.998170118470059542e+00,-4.449862331041007923e-01,2.670369663360626866e+00,-3.655061194294282778e+00
1.260520935058593750e+00,-1.621371777071641679e-02,4.045317441479546972e+00,-4.561946474069807356e-01,2.040862270130823219e+00,-3.425640968668628883e+00
1.280532360076904297e+00,-2.541087095203166044e-02,4.079593929140208353e+00,-4.635523773945492976e-01,1.384847972081309164e+00,-3.225767703516095875e+00
1.300531625747680664e+00,-3.472302680879138514e-02,4.100575088950934699e+00,-4.677006893333134907e-01,7.126290182959856834e-01,-3.016944021560278522e+00
